co_mol_m2,surface_pressure,mes,surface_solar_radiation_downwards,temperature_2m,zona,anio,co_mg_m3_suelo_pred
0.03186401392471301,101296.53933607442,1,6492519.610064034,301.08539655479046,Dist_26Oct,2025,1.244759
0.030277872871713143,100649.10431153688,1,6737334.720884672,298.58970418732946,Dist_Paita,2025,1.1085131
0.029919770177211792,98609.62296489233,1,6294421.038113585,299.45178783137663,Parinas,2025,1.0626256
0.034894697802010745,101231.94563103587,2,6332702.772723327,302.39223567401814,Dist_26Oct,2025,1.3215003
0.03312097226742858,100585.64613098692,2,6637907.863542302,300.10800767597135,Dist_Paita,2025,1.1411611
0.03289938751119835,98566.909987731,2,6105155.634886829,300.3016374410148,Parinas,2025,1.198753
0.03700517922153103,101239.29974029204,3,6340000.55824752,302.2218352836508,Dist_26Oct,2025,1.3726939
0.036144563147820524,100588.79062118537,3,6208721.808818731,300.13462724043615,Dist_Paita,2025,1.1032395
0.036242715465498336,98576.78851173237,3,6011217.003333582,300.21765593738064,Parinas,2025,1.2622313
0.03517356484943306,101262.00609231748,4,6319815.874002738,300.95184680120036,Dist_26Oct,2025,1.256088
0.034270068335969225,100609.82217230582,4,6542007.882548644,298.6789119629736,Dist_Paita,2025,1.0483117
0.03402270408474331,98574.83053094163,4,6202560.17869075,299.6251044193419,Parinas,2025,1.0500941
0.031170452362378583,101351.99299378475,5,6242288.406444088,299.07211500254016,Dist_26Oct,2025,1.2377917
0.03036789334766071,100694.90877040877,5,6291117.672696044,297.0758671444412,Dist_Paita,2025,1.0374216
0.029886510169879987,98631.59899296377,5,6165486.082816283,298.42049900489513,Parinas,2025,0.7903149
0.031009657511754805,101443.59144277261,6,5902920.360220708,297.2600941677145,Dist_26Oct,2025,1.362797
0.029683455771629567,100778.58296216257,6,5884996.521518077,295.76788297189256,Dist_Paita,2025,1.1187205
0.02908743846959812,98697.22090092555,6,5923734.837466268,296.99985674018154,Parinas,2025,0.7384293
0.03251660662255515,101452.75271569233,7,5988126.254905782,296.2539723473186,Dist_26Oct,2025,1.3478317
0.030776771170551658,100785.18552577218,7,5960863.141142938,294.8694572032764,Dist_Paita,2025,1.0918889
0.030338687961029842,98693.72786156833,7,6084429.665628465,296.2401140344422,Parinas,2025,0.8324437
0.03826644980363617,101491.04068074633,8,6564899.234572699,295.92350918867197,Dist_26Oct,2025,1.466188
0.037287032795168526,100825.05214555442,8,6488384.298426882,294.35873807984166,Dist_Paita,2025,1.2100794
0.03640154710048931,98728.52716406414,8,6655947.3913691,295.8370494094391,Parinas,2025,0.9572825
0.04624255369685156,101439.52925765829,9,7303116.814533667,296.21100699790463,Dist_26Oct,2025,1.7848939
0.04546837490869825,100801.21530613794,9,6790115.826312945,294.32526757562874,Dist_Paita,2025,1.4542134
0.04402259267078375,98688.22966289798,9,7209721.171246106,295.9454762710239,Parinas,2025,1.2821033
0.04091190051172113,101411.98510295957,10,7434587.705787682,296.72226194351026,Dist_26Oct,2025,1.5772066
0.04011478812412979,100776.49110731644,10,7013267.196895044,294.66552678638294,Dist_Paita,2025,1.3455912
0.03886086311897079,98667.79494029077,10,7402534.954702261,296.34955182314445,Parinas,2025,1.2157925
0.03549499496747376,101394.89146792135,11,7286689.8486438235,297.08899324624554,Dist_26Oct,2025,1.3489252
0.03453033387899791,100760.83557482748,11,7391450.925374933,295.0450181728993,Dist_Paita,2025,1.225174
0.03386446616856891,98659.61405841481,11,7490552.344051776,296.3740893475629,Parinas,2025,1.03527
0.03310726998736377,101302.8437834012,12,6788653.72409665,299.0813803471823,Dist_26Oct,2025,1.2894044
0.03211154457050922,100672.94936798018,12,6963443.201582041,296.82139710089973,Dist_Paita,2025,1.0305008
0.03145639738034755,98593.54180661947,12,6785752.99216707,297.9808543581162,Parinas,2025,1.0319176
0.03202254135717427,101800.50221834345,1,6524820.702651418,302.58333385108295,Dist_26Oct,2026,1.4161396
0.030428509055154502,101149.84612403209,1,6770853.799098029,300.0752251036844,Dist_Paita,2026,1.2076876
0.03006862475520787,99100.21810402116,1,6325736.565666389,300.941597721085,Parinas,2026,1.134329
0.03506830326371229,101735.58715158828,2,6364208.756667225,303.89667465747095,Dist_26Oct,2026,1.5126977
0.033285753223982945,101086.0722311411,2,6670932.280773855,301.601082341026,Dist_Paita,2026,1.2468182
0.03306306605603018,99057.29262448588,2,6135529.543518106,301.7956754382338,Parinas,2026,1.2327555
0.037189284590792376,101742.9778484527,3,6371542.849582084,303.7254265039675,Dist_26Oct,2026,1.5648645
0.03632438684507336,101089.23236556938,3,6239610.972046685,301.62783434113487,Dist_Paita,2026,1.2683611
